date,home,away,g1_home,g1_away,g2_home,g2_away,g1_total,g2_total
2014-08-21,CHC,SF,2.0,1.0,3.0,5.0,3.0,8.0
2014-08-23,MIN,DET,12.0,4.0,6.0,8.0,16.0,14.0
2014-08-30,CWS,DET,6.0,3.0,4.0,8.0,9.0,12.0
2014-08-30,STL,CHC,1.0,5.0,13.0,2.0,6.0,15.0
2014-09-01,COL,SF,2.0,4.0,10.0,9.0,6.0,19.0
2014-09-06,CHC,PIT,3.0,5.0,0.0,5.0,8.0,5.0
2014-09-11,CLE,MIN,8.0,2.0,2.0,0.0,10.0,2.0
2014-09-12,BAL,NYY,2.0,1.0,5.0,0.0,3.0,5.0
2014-09-13,CWS,MIN,5.0,1.0,7.0,6.0,6.0,13.0
2014-09-25,WSH,NYM,4.0,7.0,3.0,0.0,11.0,3.0
2014-09-26,WSH,MIA,4.0,0.0,7.0,15.0,4.0,22.0
2015-04-26,CWS,KC,3.0,2.0,5.0,3.0,5.0,8.0
2015-05-06,COL,AZ,7.0,13.0,1.0,5.0,20.0,6.0
2015-05-09,CWS,CIN,4.0,10.0,8.0,2.0,14.0,10.0
2015-05-23,COL,SF,8.0,10.0,5.0,3.0,18.0,8.0
2015-05-28,BAL,CWS,2.0,3.0,6.0,3.0,5.0,9.0
2015-06-02,COL,LAD,6.0,3.0,8.0,9.0,9.0,17.0
2015-06-02,WSH,TOR,2.0,0.0,3.0,7.0,2.0,10.0
2015-06-03,BOS,MIN,6.0,3.0,0.0,2.0,9.0,2.0
2015-06-28,BAL,CLE,4.0,0.0,8.0,0.0,4.0,8.0
2015-06-28,NYM,CIN,2.0,1.0,7.0,2.0,3.0,9.0
2015-06-28,PHI,WSH,2.0,3.0,8.0,5.0,5.0,13.0
2015-07-07,CHC,STL,7.0,4.0,5.0,3.0,11.0,8.0
2015-07-07,KC,TB,9.0,5.0,7.0,1.0,14.0,8.0
2015-07-17,CWS,KC,2.0,4.0,2.0,0.0,6.0,2.0
2015-07-18,WSH,LAD,5.0,3.0,2.0,4.0,8.0,6.0
2015-07-20,LAA,BOS,11.0,1.0,7.0,3.0,12.0,10.0
2015-07-22,CIN,CHC,9.0,1.0,5.0,6.0,10.0,11.0
2015-09-01,COL,AZ,4.0,6.0,3.0,5.0,10.0,8.0
2015-09-05,CIN,MIL,6.0,8.0,3.0,7.0,14.0,10.0
2015-09-11,PHI,CHC,1.0,5.0,3.0,7.0,6.0,10.0
2015-09-12,CIN,STL,4.0,2.0,5.0,1.0,6.0,6.0
2015-09-12,NYY,TOR,5.0,9.0,7.0,10.0,14.0,17.0
2015-09-13,CLE,DET,7.0,2.0,2.0,9.0,9.0,11.0
2015-09-15,PIT,CHC,5.0,4.0,1.0,2.0,9.0,3.0
2015-09-19,MIN,LAA,3.0,4.0,2.0,5.0,7.0,7.0
2015-09-21,DET,CWS,0.0,2.0,2.0,3.0,2.0,5.0
2015-09-30,BAL,TOR,2.0,15.0,8.0,1.0,17.0,9.0
2015-09-30,CLE,MIN,1.0,7.0,10.0,2.0,8.0,12.0
2015-09-30,PIT,STL,8.0,2.0,1.0,11.0,10.0,12.0
2015-10-03,BAL,NYY,9.0,2.0,4.0,3.0,11.0,7.0
2015-10-03,NYM,WSH,1.0,3.0,0.0,2.0,4.0,2.0
2015-10-03,PHI,MIA,6.0,7.0,2.0,5.0,13.0,7.0
2015-10-04,ATL,STL,6.0,0.0,2.0,0.0,6.0,2.0
2016-05-07,BAL,ATH,4.0,8.0,5.0,2.0,12.0,7.0
2016-05-11,CHC,SD,4.0,7.0,0.0,1.0,11.0,1.0
2016-05-14,WSH,MIA,6.0,4.0,1.0,7.0,10.0,8.0
2016-05-18,KC,BOS,3.0,2.0,2.0,5.0,5.0,7.0
2016-05-23,CWS,CLE,7.0,6.0,1.0,5.0,13.0,6.0
2016-06-07,PIT,NYM,3.0,1.0,3.0,1.0,4.0,4.0
2016-06-25,BAL,TB,5.0,0.0,8.0,6.0,5.0,14.0
2016-07-20,STL,SD,4.0,2.0,3.0,2.0,6.0,5.0
2016-07-24,CWS,DET,4.0,3.0,5.0,4.0,7.0,9.0
2016-07-26,NYM,STL,2.0,3.0,3.0,1.0,5.0,4.0
2016-08-11,MIN,HOU,7.0,15.0,2.0,10.0,22.0,12.0
2016-08-16,CHC,MIL,4.0,0.0,4.0,1.0,4.0,5.0
2016-08-31,COL,LAD,7.0,0.0,8.0,10.0,7.0,18.0
2016-09-17,CIN,PIT,4.0,10.0,3.0,7.0,14.0,10.0
2016-09-22,MIN,DET,2.0,9.0,2.0,4.0,11.0,6.0
2017-04-27,STL,TOR,8.0,4.0,6.0,4.0,12.0,10.0
2017-05-09,COL,CHC,10.0,4.0,1.0,8.0,14.0,9.0
2017-05-14,NYY,HOU,11.0,6.0,7.0,10.0,17.0,17.0
2017-05-14,WSH,PHI,3.0,4.0,6.0,5.0,7.0,11.0
2017-05-18,MIN,COL,1.0,5.0,2.0,0.0,6.0,2.0
2017-05-21,MIN,KC,4.0,6.0,8.0,4.0,10.0,12.0
2017-05-27,CWS,DET,3.0,0.0,3.0,4.0,3.0,7.0
2017-06-10,ATL,NYM,1.0,6.0,1.0,8.0,7.0,9.0
2017-06-10,TB,ATH,6.0,5.0,2.0,7.0,11.0,9.0
2017-06-13,STL,MIL,6.0,0.0,5.0,8.0,6.0,13.0
2017-06-17,MIN,CLE,3.0,9.0,2.0,6.0,12.0,8.0
2017-07-01,DET,CLE,7.0,4.0,1.0,4.0,11.0,5.0
2017-07-01,KC,MIN,11.0,6.0,5.0,10.0,17.0,15.0
2017-07-16,BOS,NYY,0.0,3.0,3.0,0.0,3.0,3.0
2017-07-30,WSH,COL,6.0,10.0,3.0,1.0,16.0,4.0
2017-08-06,KC,SEA,7.0,8.0,9.0,1.0,15.0,10.0
2017-08-13,WSH,SF,2.0,4.0,6.0,2.0,6.0,8.0
2017-08-17,MIN,CLE,3.0,9.0,4.0,2.0,12.0,6.0
2017-08-21,CWS,MIN,7.0,6.0,2.0,10.0,13.0,12.0
2017-08-22,PHI,MIA,8.0,12.0,4.0,7.0,20.0,11.0
2017-08-27,WSH,NYM,5.0,6.0,5.0,4.0,11.0,9.0
2017-08-30,NYY,CLE,1.0,2.0,4.0,9.0,3.0,13.0
2017-08-30,PHI,ATL,1.0,9.0,2.0,5.0,10.0,7.0
2017-09-01,DET,CLE,2.0,3.0,0.0,10.0,5.0,10.0
2017-09-02,HOU,NYM,12.0,8.0,4.0,1.0,20.0,5.0
2017-09-02,SD,LAD,6.0,5.0,7.0,2.0,11.0,9.0
2017-09-06,ATL,TEX,8.0,12.0,5.0,4.0,20.0,9.0
2017-09-09,ATH,HOU,11.0,1.0,11.0,4.0,12.0,15.0
2017-09-25,NYM,ATL,2.0,9.0,3.0,2.0,11.0,5.0
2018-04-01,DET,PIT,0.0,1.0,6.0,8.0,1.0,14.0
2018-04-17,TOR,KC,11.0,3.0,5.0,4.0,14.0,9.0
2018-04-20,DET,KC,3.0,2.0,2.0,3.0,5.0,5.0
2018-04-25,PIT,DET,10.0,13.0,8.0,3.0,23.0,11.0
2018-04-28,KC,CWS,0.0,8.0,5.0,2.0,8.0,7.0
2018-04-28,SF,LAD,6.0,15.0,8.0,3.0,21.0,11.0
2018-05-03,CLE,TOR,11.0,13.0,13.0,4.0,24.0,17.0
2018-05-12,BAL,TB,6.0,3.0,3.0,10.0,9.0,13.0
2018-05-12,DET,SEA,4.0,3.0,5.0,9.0,7.0,14.0
2018-05-19,CIN,CHC,5.0,4.0,0.0,10.0,9.0,10.0
2018-05-19,WSH,LAD,1.0,4.0,4.0,5.0,5.0,9.0
2018-05-28,ATL,NYM,4.0,3.0,5.0,8.0,7.0,13.0
2018-06-04,DET,NYY,4.0,7.0,4.0,2.0,11.0,6.0
2018-06-05,MIN,CWS,4.0,2.0,3.0,6.0,6.0,9.0
2018-06-18,WSH,NYY,5.0,3.0,2.0,4.0,8.0,6.0
2018-06-19,CHC,LAD,3.0,4.0,2.0,1.0,7.0,3.0
2018-06-22,CWS,ATH,2.0,11.0,6.0,4.0,13.0,10.0
2018-07-09,BAL,NYY,5.0,4.0,2.0,10.0,9.0,12.0
2018-07-09,NYM,PHI,4.0,3.0,1.0,3.0,7.0,4.0
2018-07-14,PIT,MIL,2.0,1.0,6.0,2.0,3.0,8.0
2018-07-21,CHC,STL,7.0,2.0,3.0,6.0,9.0,9.0
2018-07-22,PHI,SD,2.0,10.0,5.0,0.0,12.0,5.0
2018-07-28,NYY,KC,5.0,10.0,5.0,4.0,15.0,9.0
2018-08-04,WSH,CIN,1.0,7.0,6.0,2.0,8.0,8.0
2018-08-07,WSH,ATL,8.0,3.0,1.0,3.0,11.0,4.0
2018-08-11,BAL,BOS,0.0,5.0,4.0,6.0,5.0,10.0
2018-08-13,ATL,MIA,9.0,1.0,6.0,1.0,10.0,7.0
2018-08-16,PHI,NYM,4.0,24.0,9.0,6.0,28.0,15.0
2018-08-25,BAL,NYY,3.0,10.0,1.0,5.0,13.0,6.0
2018-08-29,CHC,NYM,2.0,1.0,3.0,10.0,3.0,13.0
2018-09-08,WSH,CHC,10.0,3.0,6.0,5.0,13.0,11.0
2018-09-11,PHI,WSH,1.0,3.0,6.0,7.0,4.0,13.0
2018-09-13,NYM,MIA,4.0,3.0,5.0,2.0,7.0,7.0
2018-09-26,BOS,BAL,19.0,3.0,3.0,10.0,22.0,13.0
2018-09-28,MIN,CWS,2.0,1.0,12.0,4.0,3.0,16.0
2018-09-29,BAL,HOU,3.0,4.0,2.0,5.0,7.0,7.0
2019-04-20,BAL,MIN,5.0,6.0,7.0,16.0,11.0,23.0
2019-04-20,CLE,ATL,8.0,4.0,7.0,8.0,12.0,15.0
