game_id,season,day_index,home_team,away_team,y,mu,sigma,gameday,home_score,away_score,p_home,su_pick,su_win,su_correct,rl_pick,rl_correct
718676,2023,8,ATL,SD,-1.0,0.7673000220783383,4.386982782863762,2023-04-07,4.0,5.0,0.577044215696121,ATL,SD,False,ATL,False
718677,2023,8,CLE,SEA,-2.0,0.19734267455319604,4.386982782863762,2023-04-07,3.0,5.0,0.5199315852482269,CLE,SEA,False,CLE,False
718678,2023,8,TB,ATH,4.0,1.2426749485773674,4.386982782863762,2023-04-07,9.0,5.0,0.6235196840546422,TB,TB,True,TB,True
718679,2023,8,PIT,CWS,4.0,-0.029599365458268467,4.386982782863762,2023-04-07,13.0,9.0,0.49700925104740107,CWS,PIT,False,CWS,False
718680,2023,8,SF,KC,-2.0,1.274506737569261,4.386982782863762,2023-04-07,1.0,3.0,0.6265766914042761,SF,KC,False,SF,False
718684,2023,8,MIN,HOU,1.0,-0.5898141792598692,4.386982782863762,2023-04-07,3.0,2.0,0.44062495371522126,HOU,MIN,False,HOU,False
718685,2023,8,PHI,CIN,3.0,0.5429593614247546,4.386982782863762,2023-04-07,5.0,2.0,0.5546892342342783,PHI,PHI,True,PHI,True
718688,2023,8,BAL,NYY,1.0,-0.9585280860249985,4.386982782863762,2023-04-07,7.0,6.0,0.40409148856813937,NYY,BAL,False,NYY,False
718693,2023,8,NYM,MIA,6.0,0.8826564407835193,4.386982782863762,2023-04-07,9.0,3.0,0.5884479820728914,NYM,NYM,True,NYM,True
718656,2023,9,AZ,LAD,4.0,-2.3382437197567905,4.386982782863762,2023-04-08,12.0,8.0,0.2768524302568325,LAD,AZ,False,LAD,False
718657,2023,9,LAA,TOR,4.0,-0.06893938885378695,4.386982782863762,2023-04-08,9.0,5.0,0.49303458513304577,TOR,LAA,False,TOR,False
718658,2023,9,COL,WSH,-1.0,0.6606757559016796,4.386982782863762,2023-04-08,6.0,7.0,0.5664457274417602,COL,WSH,False,COL,False
718659,2023,9,ATL,SD,-3.0,0.6287990829640603,4.386982782863762,2023-04-08,1.0,4.0,0.5632675134408381,ATL,SD,False,ATL,False
718660,2023,9,MIL,STL,-6.0,0.06236389801590678,4.386982782863762,2023-04-08,0.0,6.0,0.5063011065115449,MIL,STL,False,MIL,False
718661,2023,9,NYM,MIA,3.0,1.3096023106613404,4.386982782863762,2023-04-08,5.0,2.0,0.6299379243420873,NYM,NYM,True,NYM,True
718662,2023,9,PIT,CWS,-6.0,-0.24241404193281457,4.386982782863762,2023-04-08,5.0,11.0,0.47552139789574654,CWS,CWS,True,CWS,True
718663,2023,9,CLE,SEA,-1.0,0.014207154161273272,4.386982782863762,2023-04-08,2.0,3.0,0.5014355151564004,CLE,SEA,False,CLE,False
718664,2023,9,BAL,NYY,-3.0,-0.5915991560803971,4.386982782863762,2023-04-08,1.0,4.0,0.4404466034740478,NYY,NYY,True,NYY,True
718665,2023,9,TB,ATH,11.0,1.4995489007419502,4.386982782863762,2023-04-08,11.0,0.0,0.6479521606375893,TB,TB,True,TB,True
718666,2023,9,MIN,HOU,3.0,-0.37430400667703456,4.386982782863762,2023-04-08,9.0,6.0,0.46223617596461686,HOU,MIN,False,HOU,False
718667,2023,9,DET,BOS,-9.0,-0.7535843802586115,4.386982782863762,2023-04-08,5.0,14.0,0.4243161712980521,BOS,BOS,True,BOS,True
718668,2023,9,PHI,CIN,1.0,0.7584515310290699,4.386982782863762,2023-04-08,3.0,2.0,0.5761666815258735,PHI,PHI,True,PHI,False
718669,2023,9,CHC,TEX,7.0,0.28710127488305925,4.386982782863762,2023-04-08,10.0,3.0,0.5289837221455269,CHC,CHC,True,CHC,True
718672,2023,9,SF,KC,-1.0,0.8171196107179556,4.386982782863762,2023-04-08,5.0,6.0,0.581977735276276,SF,KC,False,SF,False
718639,2023,10,AZ,LAD,5.0,-1.526323910264794,4.386982782863762,2023-04-09,11.0,6.0,0.3495339502842699,LAD,AZ,False,LAD,False
718642,2023,10,CHC,TEX,-6.0,-0.05921565230197484,4.386982782863762,2023-04-09,2.0,8.0,0.49401696059668593,TEX,TEX,True,TEX,True
718643,2023,10,SF,KC,2.0,0.9006838289114413,4.386982782863762,2023-04-09,3.0,1.0,0.590223638848482,SF,SF,True,SF,True
