ticker,event_ticker,result,volume_fp,liquidity_dollars,close_time,previous_yes_ask_dollars
KXMLBGAME-26SEP081835CLEBAL-BAL,KXMLBGAME-26SEP081835CLEBAL,no,1770348.77,0.0000,2026-09-09T01:44:32Z,1.0000
KXMLBGAME-26SEP072205TORATH-TOR,KXMLBGAME-26SEP072205TORATH,no,5384539.93,0.0000,2026-09-08T05:04:38Z,1.0000
KXMLBGAME-26SEP072205TORATH-ATH,KXMLBGAME-26SEP072205TORATH,yes,2532127.99,0.0000,2026-09-08T05:04:38Z,1.0000
KXMLBGAME-26SEP072110CINLAD-LAD,KXMLBGAME-26SEP072110CINLAD,yes,1834098.58,0.0000,2026-09-08T03:49:49Z,1.0000
KXMLBGAME-26SEP072110CINLAD-CIN,KXMLBGAME-26SEP072110CINLAD,no,2718559.31,0.0000,2026-09-08T03:49:49Z,1.0000
KXMLBGAME-26SEP072010STLSF-STL,KXMLBGAME-26SEP072010STLSF,no,5239388.66,0.0000,2026-09-08T03:49:49Z,1.0000
KXMLBGAME-26SEP072010STLSF-SF,KXMLBGAME-26SEP072010STLSF,yes,3526212.53,0.0000,2026-09-08T03:49:49Z,1.0000
KXMLBGAME-26SEP071710WSHSD-WSH,KXMLBGAME-26SEP071710WSHSD,no,2601451.16,0.0000,2026-09-07T23:44:35Z,1.0000
KXMLBGAME-26SEP071710WSHSD-SD,KXMLBGAME-26SEP071710WSHSD,yes,1183340.96,0.0000,2026-09-07T23:44:35Z,1.0000
KXMLBGAME-26SEP071510MINDET-MIN,KXMLBGAME-26SEP071510MINDET,no,2220509.51,0.0000,2026-09-07T21:49:36Z,1.0000
KXMLBGAME-26SEP071510MINDET-DET,KXMLBGAME-26SEP071510MINDET,yes,1031716.96,0.0000,2026-09-07T21:49:36Z,1.0000
KXMLBGAME-26SEP071410AZKC-KC,KXMLBGAME-26SEP071410AZKC,no,1994422.74,0.0000,2026-09-07T21:19:37Z,1.0000
KXMLBGAME-26SEP071410AZKC-AZ,KXMLBGAME-26SEP071410AZKC,yes,2385452.53,0.0000,2026-09-07T21:19:37Z,1.0000
KXMLBGAME-26SEP071410CHCMIL-MIL,KXMLBGAME-26SEP071410CHCMIL,yes,1716867.71,0.0000,2026-09-07T20:49:35Z,1.0000
KXMLBGAME-26SEP071410CHCMIL-CHC,KXMLBGAME-26SEP071410CHCMIL,no,2054063.18,0.0000,2026-09-07T20:49:35Z,1.0000
KXMLBGAME-26SEP071335LAABOS-LAA,KXMLBGAME-26SEP071335LAABOS,no,1199526.13,0.0000,2026-09-07T20:29:43Z,1.0000
KXMLBGAME-26SEP071335LAABOS-BOS,KXMLBGAME-26SEP071335LAABOS,yes,1278254.49,0.0000,2026-09-07T20:29:43Z,1.0000
KXMLBGAME-26SEP071335CLEBAL-CLE,KXMLBGAME-26SEP071335CLEBAL,no,1530108.91,0.0000,2026-09-07T20:39:36Z,1.0000
KXMLBGAME-26SEP071335CLEBAL-BAL,KXMLBGAME-26SEP071335CLEBAL,yes,976277.05,0.0000,2026-09-07T20:39:36Z,1.0000
KXMLBGAME-26SEP071305ATLPHI-PHI,KXMLBGAME-26SEP071305ATLPHI,yes,1310044.36,0.0000,2026-09-07T19:04:37Z,1.0000
KXMLBGAME-26SEP071305ATLPHI-ATL,KXMLBGAME-26SEP071305ATLPHI,no,1823339.27,0.0000,2026-09-07T19:04:37Z,1.0000
KXMLBGAME-26SEP071310NYMMIA-NYM,KXMLBGAME-26SEP071310NYMMIA,yes,1196346.50,0.0000,2026-09-07T20:24:35Z,1.0000
KXMLBGAME-26SEP071310NYMMIA-MIA,KXMLBGAME-26SEP071310NYMMIA,no,1466876.73,0.0000,2026-09-07T20:24:35Z,1.0000
KXMLBGAME-26SEP062210WSHLAD-WSH,KXMLBGAME-26SEP062210WSHLAD,no,6639151.17,0.0000,2026-09-07T05:09:34Z,1.0000
KXMLBGAME-26SEP062210WSHLAD-LAD,KXMLBGAME-26SEP062210WSHLAD,yes,7803966.38,0.0000,2026-09-07T05:09:34Z,1.0000
KXMLBGAME-26SEP061820MINCWS-MIN,KXMLBGAME-26SEP061820MINCWS,no,2003741.12,0.0000,2026-09-07T01:19:39Z,1.0000
KXMLBGAME-26SEP061820MINCWS-CWS,KXMLBGAME-26SEP061820MINCWS,yes,1401545.66,0.0000,2026-09-07T01:19:39Z,1.0000
KXMLBGAME-26SEP061610NYYSD-SD,KXMLBGAME-26SEP061610NYYSD,yes,1294938.74,0.0000,2026-09-06T22:44:28Z,1.0000
KXMLBGAME-26SEP061610NYYSD-NYY,KXMLBGAME-26SEP061610NYYSD,no,3676312.76,0.0000,2026-09-06T22:44:28Z,1.0000
KXMLBGAME-26SEP061610ATHSEA-SEA,KXMLBGAME-26SEP061610ATHSEA,yes,614564.30,0.0000,2026-09-06T22:44:28Z,1.0000
KXMLBGAME-26SEP061610ATHSEA-ATH,KXMLBGAME-26SEP061610ATHSEA,no,1337829.82,0.0000,2026-09-06T22:44:28Z,1.0000
KXMLBGAME-26SEP061510STLCOL-STL,KXMLBGAME-26SEP061510STLCOL,yes,1808598.89,0.0000,2026-09-06T22:24:29Z,1.0000
KXMLBGAME-26SEP061510STLCOL-COL,KXMLBGAME-26SEP061510STLCOL,no,765526.28,0.0000,2026-09-06T22:24:29Z,1.0000
