venue_id,season,asof_date,n_games,pf_raw,pf_shrunk,log_pf
5355.0,2017,2017-01-01,0,,1.0,0.0
5445.0,2017,2017-01-01,0,,1.0,0.0
17.0,2018,2018-01-01,243,0.9567729273299279,0.9732718100284287,-0.027091883260586487
680.0,2018,2018-01-01,243,0.9641575712456437,0.9778378875641003,-0.022411381823795554
4169.0,2018,2018-01-01,239,0.9094351197185417,0.9443573100584357,-0.05725067803428539
12.0,2018,2018-01-01,246,0.9013374411059304,0.9387096225051991,-0.06324908880731724
2681.0,2018,2018-01-01,243,0.9853884225033266,0.9909653604791562,-0.009075699370872275
7.0,2018,2018-01-01,243,0.9946192273979715,0.9966729573987458,-0.003332589514116881
2392.0,2018,2018-01-01,240,0.92433818663137,0.9534388840808431,-0.047679952397768025
32.0,2018,2018-01-01,246,1.0007261928313187,1.0004511197891526,0.0004510180652124657
2394.0,2018,2018-01-01,242,1.078905630603329,1.0487121495051164,0.047562887092072945
3309.0,2018,2018-01-01,243,0.972465295650824,0.9829747247917309,-0.01717187148320732
2602.0,2018,2018-01-01,243,1.077696471449774,1.0480413296750513,0.04692302183407888
22.0,2018,2018-01-01,243,0.8676956600966061,0.91819349975439,-0.08534712652730594
15.0,2018,2018-01-01,243,1.1284658983703202,1.0794331127327934,0.07643600771241507
10.0,2018,2018-01-01,243,0.9936961469085069,0.9961021977067867,-0.0039054185220498473
3313.0,2018,2018-01-01,243,1.01908086036878,1.011798089235658,0.011729034393640678
2680.0,2018,2018-01-01,243,0.9424651797432286,0.9644250348030651,-0.03622317407067042
19.0,2018,2018-01-01,243,1.3015434901449092,1.1864505549750965,0.17096612301656908
5.0,2018,2018-01-01,242,1.0223650434325358,1.0138069910986571,0.01371254296709256
13.0,2018,2018-01-01,243,1.1506198301174677,1.0931313453398082,0.08904637154443248
1.0,2018,2018-01-01,243,0.921695868730278,0.9515829417339886,-0.04962842659253728
